,company,transmission,fuel,seller_type,owner,year,km_driven,selling_price
664,hyundai santro,Manual,CNG,Individual,Third Owner,2007,80000,90000
665,hyundai santro,Manual,Petrol,Individual,Third Owner,2001,60000,55000
666,hyundai verna,Manual,Diesel,Individual,Fourth & Above Owner,2007,100000,155000
667,mahindra thar,Manual,Diesel,Individual,First Owner,2019,15000,900000
668,maruti alto,Manual,Petrol,Individual,First Owner,2011,90000,135000
669,maruti 800,Manual,Petrol,Individual,First Owner,2012,120000,180000
670,hyundai verna,Manual,Diesel,Individual,Second Owner,2013,100000,495000
671,toyota innova,Manual,Diesel,Individual,Third Owner,2009,138000,400000
672,hyundai verna,Manual,Diesel,Individual,Second Owner,2008,110000,250000
673,maruti alto,Manual,Petrol,Individual,Fourth & Above Owner,2015,120000,138000
674,honda city,Automatic,Petrol,Individual,Second Owner,2011,70000,311000
675,maruti alto,Manual,Petrol,Individual,First Owner,2015,70000,190000
676,mahindra bolero,Manual,Diesel,Individual,First Owner,2011,140000,311000
677,maruti ritz,Manual,Petrol,Individual,First Owner,2009,15000,300000
678,honda jazz,Manual,Petrol,Individual,First Owner,2018,20000,600000
679,mahindra scorpio,Manual,Diesel,Individual,First Owner,2009,100000,550000
680,skoda rapid,Automatic,Petrol,Individual,First Owner,2015,70000,600000
681,maruti alto,Manual,Petrol,Individual,First Owner,2018,5000,195000
682,tata nano,Manual,Petrol,Individual,First Owner,2013,27974,58000
683,maruti alto,Manual,Petrol,Individual,First Owner,2018,40000,183000
684,maruti zen,Manual,Petrol,Individual,First Owner,2007,80000,95000
685,maruti wagon,Manual,Petrol,Individual,First Owner,2013,38000,250000
686,maruti wagon,Manual,Petrol,Individual,First Owner,2013,38000,250000
687,tata zest,Manual,Petrol,Individual,First Owner,2014,35000,400000
688,hyundai verna,Manual,Diesel,Individual,Second Owner,2012,60000,409999
689,skoda octavia,Manual,Diesel,Individual,Second Owner,2004,120000,120000
690,maruti swift,Automatic,Petrol,Individual,First Owner,2018,18000,600000
691,honda amaze,Manual,Petrol,Individual,First Owner,2016,10000,600000
692,mahindra xuv500,Manual,Diesel,Individual,Third Owner,2015,90000,825000
693,toyota etios,Manual,Diesel,Individual,Second Owner,2016,80000,625000
694,hyundai grand,Manual,Diesel,Individual,First Owner,2020,1400,700000
695,chevrolet beat,Manual,Petrol,Individual,First Owner,2011,60000,160000
696,maruti alto,Manual,Petrol,Individual,Third Owner,2011,60000,114999
697,maruti wagon,Manual,Petrol,Individual,First Owner,2009,53000,150000
698,volkswagen jetta,Manual,Diesel,Dealer,First Owner,2010,100000,250000
699,hyundai verna,Manual,Diesel,Dealer,Second Owner,2012,86000,390000
700,renault duster,Manual,Diesel,Individual,First Owner,2015,100000,650000
701,hyundai xcent,Manual,Diesel,Individual,First Owner,2016,30000,600000
702,hyundai i20,Manual,Petrol,Individual,First Owner,2011,120000,250000
703,hyundai santro,Manual,LPG,Individual,Second Owner,2011,60000,229999
704,maruti ritz,Manual,Diesel,Individual,Second Owner,2016,50000,299000
705,chevrolet cruze,Manual,Diesel,Individual,Second Owner,2010,124000,330000
706,hyundai accent,Manual,Petrol,Individual,Third Owner,2012,100000,180000
707,hyundai grand,Manual,Petrol,Individual,First Owner,2017,42000,475000
708,hyundai grand,Manual,Diesel,Individual,First Owner,2015,100000,325000
709,honda city,Manual,Petrol,Dealer,First Owner,2016,28205,639000
710,maruti celerio,Automatic,Petrol,Dealer,First Owner,2017,32670,415000
711,hyundai creta,Automatic,Diesel,Dealer,First Owner,2016,30093,1199000
712,maruti ertiga,Manual,CNG,Dealer,First Owner,2013,56228,525000
713,hyundai verna,Manual,Petrol,Dealer,First Owner,2013,59319,425000
714,maruti vitara,Manual,Diesel,Dealer,First Owner,2016,39503,699000
715,hyundai grand,Manual,Petrol,Dealer,First Owner,2013,35299,325000
716,toyota etios,Manual,Petrol,Dealer,First Owner,2011,51687,275000
717,volkswagen vento,Automatic,Petrol,Dealer,First Owner,2011,76259,269000
718,volkswagen polo,Manual,Diesel,Dealer,First Owner,2013,44049,399000
719,mahindra kuv,Manual,Diesel,Dealer,First Owner,2017,45087,475000
720,toyota etios,Manual,Petrol,Dealer,First Owner,2011,41125,249000
721,audi a4,Automatic,Diesel,Dealer,First Owner,2014,42215,1549000
722,volkswagen polo,Manual,Petrol,Dealer,First Owner,2011,54206,254999
723,skoda rapid,Manual,Petrol,Dealer,First Owner,2012,52547,269000
724,maruti ertiga,Manual,Diesel,Dealer,First Owner,2014,59110,665000
725,maruti wagon,Manual,Petrol,Dealer,First Owner,2014,54565,299000
726,hyundai i20,Manual,Petrol,Dealer,Second Owner,2010,47564,265000
727,volkswagen polo,Manual,Petrol,Dealer,Second Owner,2010,45143,211000
728,skoda superb,Automatic,Petrol,Dealer,Second Owner,2013,61624,599000
729,tata indigo,Manual,Diesel,Individual,Third Owner,2007,195000,55000
730,hyundai verna,Manual,Diesel,Individual,First Owner,2014,50000,550000
731,land rover,Automatic,Diesel,Individual,First Owner,2018,68000,4000000
732,tata sumo,Manual,Diesel,Individual,Second Owner,2010,120000,220000
733,maruti swift,Manual,Petrol,Individual,First Owner,2019,20000,500000
734,maruti alto,Manual,Petrol,Individual,First Owner,2010,30000,140000
735,maruti swift,Manual,Diesel,Individual,First Owner,2013,60000,325000
736,hyundai i20,Manual,Petrol,Individual,Third Owner,2010,90000,210000
737,maruti alto,Manual,Petrol,Individual,Second Owner,2008,90000,110000
738,hyundai verna,Manual,Diesel,Individual,First Owner,2019,25000,1200000
739,maruti alto,Manual,Petrol,Individual,First Owner,2017,40000,229999
740,maruti sx4,Manual,Petrol,Individual,Second Owner,2012,110000,225000
741,maruti alto,Manual,Petrol,Individual,First Owner,2006,132000,165000
742,tata tiago,Automatic,Petrol,Dealer,First Owner,2018,10980,525000
743,hyundai eon,Manual,Petrol,Dealer,First Owner,2018,20629,325000
744,toyota innova,Manual,Diesel,Individual,First Owner,2018,50000,1500000
745,hyundai grand,Automatic,Petrol,Individual,First Owner,2015,30000,400000
746,maruti ciaz,Manual,Petrol,Dealer,First Owner,2015,69782,550000
747,maruti 800,Manual,Petrol,Individual,First Owner,2003,54000,98000
748,mahindra xuv500,Manual,Diesel,Dealer,First Owner,2013,63654,900000
749,renault lodgy,Manual,Diesel,Individual,First Owner,2017,60000,700000
750,mahindra scorpio,Manual,Diesel,Dealer,First Owner,2015,52000,890000
751,maruti swift,Manual,Diesel,Dealer,First Owner,2015,59385,490000
752,hyundai i20,Manual,Petrol,Dealer,First Owner,2015,70378,525000
753,maruti wagon,Manual,Petrol,Dealer,First Owner,2013,55425,330000
754,mahindra bolero,Manual,Diesel,Dealer,Second Owner,2013,78413,550000
755,mahindra bolero,Manual,Diesel,Dealer,First Owner,2018,40890,790000
756,honda brio,Manual,Petrol,Dealer,Second Owner,2015,34823,350000
757,toyota innova,Automatic,Diesel,Individual,First Owner,2017,75000,1700000
758,maruti ciaz,Manual,Diesel,Dealer,First Owner,2017,55545,750000
759,honda amaze,Manual,Diesel,Dealer,First Owner,2014,56541,409999
760,hyundai eon,Manual,Petrol,Individual,First Owner,2016,43700,220000
761,tata indica,Manual,Petrol,Individual,Second Owner,2009,120000,68000
762,hyundai eon,Manual,Petrol,Individual,First Owner,2017,20000,290000
763,honda city,Manual,Diesel,Dealer,First Owner,2014,27483,600000
764,maruti swift,Manual,Petrol,Individual,First Owner,2019,8000,470000
765,hyundai i10,Manual,Petrol,Individual,First Owner,2008,30000,150000
766,maruti alto,Manual,Petrol,Dealer,Second Owner,2014,56207,180000
767,maruti zen,Manual,Petrol,Individual,First Owner,2006,70000,80000
768,honda wr-v,Manual,Petrol,Individual,First Owner,2018,1440,875000
769,maruti alto,Manual,Petrol,Individual,First Owner,2019,50000,300000
770,toyota fortuner,Automatic,Diesel,Individual,First Owner,2017,20000,2800000
771,toyota innova,Manual,Diesel,Dealer,First Owner,2017,91195,1330000
772,volkswagen polo,Manual,Diesel,Dealer,First Owner,2011,63657,220000
773,mahindra verito,Manual,Diesel,Individual,First Owner,2013,60000,250000
774,toyota innova,Manual,Diesel,Dealer,First Owner,2016,75000,919999
775,volkswagen vento,Manual,Petrol,Dealer,First Owner,2013,97248,380000
776,maruti swift,Manual,Diesel,Individual,First Owner,2012,46000,450000
777,hyundai verna,Automatic,Petrol,Individual,First Owner,2016,10000,770000
778,maruti swift,Manual,Diesel,Individual,First Owner,2018,80000,550000
779,tata new,Manual,Diesel,Individual,Second Owner,2011,100000,320000
780,maruti sx4,Manual,Petrol,Individual,First Owner,2013,35000,400000
781,maruti celerio,Automatic,Petrol,Individual,First Owner,2017,50000,450000
782,maruti sx4,Manual,Diesel,Individual,Third Owner,2011,90000,220000
783,mahindra xuv500,Manual,Diesel,Individual,Second Owner,2012,150000,400000
784,hyundai verna,Manual,Petrol,Individual,Second Owner,2013,89000,530000
785,maruti swift,Manual,Diesel,Individual,Second Owner,2014,60000,390000
786,fiat grande,Manual,Diesel,Individual,Second Owner,2012,100000,185000
787,maruti sx4,Manual,Petrol,Individual,Second Owner,2012,100000,300000
788,maruti swift,Manual,Diesel,Individual,Second Owner,2014,90000,575000
789,maruti wagon,Manual,Petrol,Individual,First Owner,2014,75000,300000
790,toyota etios,Manual,Diesel,Dealer,First Owner,2017,36000,425000
791,hyundai xcent,Manual,Petrol,Individual,First Owner,2016,12000,350000
792,honda amaze,Manual,Diesel,Dealer,First Owner,2017,12997,550000
793,maruti ciaz,Automatic,Petrol,Individual,First Owner,2017,40000,500000
794,mahindra scorpio,Manual,Diesel,Individual,First Owner,2015,60000,600000
795,mahindra quanto,Manual,Diesel,Individual,Second Owner,2013,25000,300000
796,hyundai verna,Manual,Diesel,Dealer,First Owner,2018,26430,1150000
797,maruti swift,Manual,Petrol,Dealer,First Owner,2015,24600,475000
798,maruti wagon,Manual,Petrol,Dealer,First Owner,2011,28481,260000
799,ford ecosport,Manual,Petrol,Individual,First Owner,2013,100000,350000
800,mahindra xuv500,Manual,Diesel,Dealer,First Owner,2013,41988,750000
801,maruti wagon,Manual,Petrol,Dealer,First Owner,2009,30375,180000
802,renault kwid,Automatic,Petrol,Dealer,First Owner,2017,7658,350000
803,maruti swift,Manual,Diesel,Dealer,First Owner,2017,34400,611000
804,renault kwid,Manual,Petrol,Dealer,First Owner,2017,18500,325000
805,hyundai eon,Manual,Petrol,Dealer,First Owner,2012,48000,225000
806,maruti wagon,Automatic,Petrol,Dealer,First Owner,2014,28942,300000
807,mahindra bolero,Manual,Diesel,Individual,Second Owner,2017,50000,400000
808,mahindra xuv500,Manual,Diesel,Dealer,First Owner,2012,53600,711000
809,toyota innova,Manual,Diesel,Dealer,First Owner,2015,53652,851000
810,maruti ertiga,Manual,Petrol,Individual,First Owner,2014,25000,500000
811,toyota innova,Manual,Diesel,Individual,Second Owner,2007,80000,250000
812,maruti alto,Manual,Petrol,Individual,First Owner,2017,50000,150000
813,mahindra scorpio,Manual,Diesel,Individual,Second Owner,2016,15000,610000
814,mahindra kuv,Manual,Petrol,Individual,First Owner,2018,5000,450000
815,hyundai i20,Manual,Diesel,Individual,First Owner,2017,106000,744000
816,chevrolet spark,Manual,Petrol,Individual,Third Owner,2008,100000,120000
817,renault kwid,Manual,Petrol,Individual,Third Owner,2016,60000,220000
818,maruti ertiga,Manual,Diesel,Individual,Fourth & Above Owner,2012,120000,480000
819,maruti celerio,Automatic,Petrol,Individual,First Owner,2017,82000,370000
820,fiat palio,Manual,Diesel,Individual,Second Owner,2003,35000,55000
821,hyundai eon,Manual,Petrol,Individual,First Owner,2013,205000,125000
822,hyundai verna,Manual,Diesel,Individual,Third Owner,2011,125000,260000
823,fiat linea,Manual,Diesel,Individual,First Owner,2015,130000,350000
824,maruti alto,Manual,CNG,Individual,Second Owner,2012,97000,170000
825,hyundai grand,Manual,Petrol,Individual,Second Owner,2015,90000,350000
826,maruti swift,Manual,Petrol,Individual,Third Owner,2009,60000,250000
827,tata indigo,Manual,Diesel,Individual,First Owner,2013,60000,170000
828,mahindra scorpio,Manual,Diesel,Individual,First Owner,2018,35000,1300000
829,hyundai grand,Manual,Petrol,Individual,First Owner,2019,25000,550000
830,honda brio,Manual,Petrol,Individual,First Owner,2017,15000,400000
831,tata nano,Manual,Petrol,Individual,First Owner,2011,20000,120000
832,tata nano,Manual,Petrol,Individual,First Owner,2011,20000,120000
833,ford figo,Manual,Petrol,Individual,First Owner,2010,70000,275000
834,tata zest,Manual,Petrol,Individual,First Owner,2016,90000,285000
835,hyundai creta,Manual,Diesel,Individual,First Owner,2016,80000,900000
836,mercedes-benz m-class,Automatic,Diesel,Individual,Second Owner,2014,79500,2500000
837,hyundai verna,Manual,Diesel,Individual,Second Owner,2013,70000,620000
838,toyota innova,Manual,Diesel,Individual,First Owner,2018,5000,1700000
839,ford figo,Manual,Petrol,Individual,First Owner,2018,15000,650000
840,maruti ertiga,Manual,Petrol,Individual,First Owner,2014,35000,500000
841,tata new,Manual,Diesel,Individual,Second Owner,2009,120000,250000
842,mahindra marazzo,Manual,Diesel,Individual,Second Owner,2018,15000,950000
843,toyota etios,Manual,Petrol,Individual,First Owner,2015,60000,320000
844,renault duster,Manual,Diesel,Individual,First Owner,2013,120000,450000
845,mahindra kuv,Manual,Diesel,Individual,First Owner,2016,90000,350000
846,maruti swift,Manual,Petrol,Individual,First Owner,2015,90000,400000
847,maruti omni,Manual,Petrol,Individual,First Owner,2018,10000,200000
848,hyundai i20,Manual,Diesel,Individual,Second Owner,2009,72000,250000
849,toyota innova,Manual,Petrol,Individual,Second Owner,2011,197000,550000
850,maruti zen,Manual,Petrol,Individual,Second Owner,1999,70000,85000
851,hyundai santro,Manual,Petrol,Individual,Third Owner,2001,50000,52000
852,tata hexa,Automatic,Diesel,Individual,First Owner,2017,50000,1200000
853,hyundai verna,Automatic,Petrol,Individual,Third Owner,2011,60000,450000
854,maruti swift,Manual,Petrol,Individual,First Owner,2018,40000,615000
855,maruti sx4,Manual,Diesel,Individual,Second Owner,2012,60000,400000
856,tata nano,Manual,Petrol,Individual,First Owner,2013,40000,60000
857,maruti ignis,Manual,Petrol,Individual,First Owner,2017,9161,500000
858,honda mobilio,Manual,Petrol,Individual,First Owner,2015,45000,600000
859,hyundai getz,Manual,Petrol,Individual,First Owner,2010,110000,110000
860,hyundai santro,Manual,Petrol,Individual,First Owner,2013,80000,175000
861,ford fiesta,Manual,Diesel,Individual,Second Owner,2011,100000,325000
862,maruti swift,Manual,Diesel,Individual,First Owner,2017,90000,425000
863,hyundai accent,Manual,CNG,Individual,Third Owner,2009,70000,160000
864,maruti zen,Manual,Petrol,Individual,Third Owner,2007,80000,100000
865,maruti swift,Manual,Diesel,Individual,Second Owner,2014,110000,390000
866,hyundai i20,Manual,Petrol,Individual,First Owner,2017,50000,400000
867,tata tigor,Manual,Petrol,Individual,First Owner,2018,5000,509999
868,hyundai i10,Manual,Petrol,Individual,Third Owner,2008,90000,150000
869,hyundai santro,Manual,Petrol,Individual,First Owner,2009,120000,110000
870,nissan sunny,Manual,Diesel,Individual,First Owner,2013,80000,450000
871,hyundai i20,Manual,Petrol,Individual,Second Owner,2017,38000,400000
872,hyundai santro,Manual,Petrol,Individual,First Owner,2009,120000,140000
873,tata indigo,Manual,Diesel,Individual,First Owner,2011,90000,130000
874,maruti alto,Manual,Petrol,Individual,First Owner,2017,50000,160000
875,maruti alto,Manual,Petrol,Individual,First Owner,2016,60000,150000
876,mahindra xuv500,Manual,Diesel,Individual,Second Owner,2013,100000,500000
877,tata nano,Manual,Petrol,Individual,First Owner,2011,19000,40000
878,chevrolet tavera,Manual,Diesel,Individual,Third Owner,2006,200000,140000
879,mahindra verito,Manual,Diesel,Individual,Second Owner,2015,70000,227000
880,maruti swift,Manual,Diesel,Individual,Second Owner,2011,50000,285000
881,maruti alto,Manual,Petrol,Individual,Second Owner,2012,19077,155000
882,hyundai eon,Manual,Petrol,Individual,First Owner,2016,30000,210000
883,maruti alto,Manual,Petrol,Individual,Second Owner,2009,80000,140000
884,toyota innova,Manual,Diesel,Individual,First Owner,2015,128000,940000
885,nissan terrano,Manual,Diesel,Individual,First Owner,2013,80000,750000
886,maruti baleno,Manual,Diesel,Individual,First Owner,2016,100000,610000
887,nissan sunny,Manual,Diesel,Individual,First Owner,2015,50000,450000
888,toyota etios,Manual,Diesel,Individual,First Owner,2012,56000,409999
889,hyundai eon,Manual,Petrol,Individual,First Owner,2018,21302,100000
890,renault kwid,Manual,Petrol,Individual,First Owner,2018,10500,300000
891,mahindra bolero,Manual,Diesel,Individual,First Owner,2013,107000,400000
892,hyundai i10,Manual,Petrol,Individual,Second Owner,2010,60000,210000
893,hyundai santro,Manual,Petrol,Individual,Second Owner,2006,120000,90000
894,maruti wagon,Manual,Petrol,Individual,First Owner,2010,70000,222000
895,maruti alto,Manual,Petrol,Individual,Second Owner,2015,50000,240000
896,toyota etios,Manual,Diesel,Individual,Second Owner,2013,70000,450000
897,renault duster,Manual,Diesel,Dealer,Second Owner,2013,1000,450000
898,mercedes-benz c-class,Automatic,Diesel,Dealer,First Owner,2018,10000,3800000
899,audi a4,Automatic,Diesel,Dealer,First Owner,2013,86000,1580000
900,bmw x5,Automatic,Diesel,Dealer,First Owner,2019,30000,4950000
901,hyundai creta,Manual,Diesel,Individual,First Owner,2016,52600,535000
902,maruti sx4,Manual,Petrol,Individual,Second Owner,2012,110000,225000
903,hyundai grand,Automatic,Petrol,Dealer,First Owner,2017,19890,550000
904,maruti swift,Manual,Petrol,Trustmark Dealer,First Owner,2016,7104,670000
905,maruti ertiga,Manual,Petrol,Trustmark Dealer,First Owner,2015,11918,625000
906,hyundai grand,Automatic,Petrol,Dealer,First Owner,2017,10510,520000
907,chevrolet beat,Manual,Petrol,Dealer,First Owner,2016,41000,239000
908,toyota fortuner,Automatic,Diesel,Trustmark Dealer,First Owner,2017,47162,2600000
909,maruti s-cross,Manual,Diesel,Trustmark Dealer,First Owner,2015,45974,750000
910,hyundai i10,Manual,Petrol,Dealer,First Owner,2012,49824,229999
911,audi a6,Automatic,Diesel,Dealer,First Owner,2013,58500,1300000
912,hyundai santro,Manual,Petrol,Dealer,First Owner,2005,56580,80000
913,skoda laura,Manual,Diesel,Dealer,First Owner,2012,52000,385000
914,hyundai verna,Manual,Petrol,Trustmark Dealer,First Owner,2015,55340,760000
915,maruti swift,Manual,Diesel,Trustmark Dealer,First Owner,2017,46507,600000
916,renault duster,Manual,Diesel,Dealer,Second Owner,2013,1000,450000
917,mercedes-benz c-class,Automatic,Diesel,Dealer,First Owner,2018,10000,3800000
918,audi a4,Automatic,Diesel,Dealer,First Owner,2013,86000,1580000
919,bmw x5,Automatic,Diesel,Dealer,First Owner,2019,30000,4950000
920,hyundai creta,Manual,Diesel,Individual,First Owner,2016,52600,535000
921,maruti sx4,Manual,Petrol,Individual,Second Owner,2012,110000,225000
922,hyundai grand,Automatic,Petrol,Dealer,First Owner,2017,19890,550000
923,maruti swift,Manual,Petrol,Trustmark Dealer,First Owner,2016,7104,670000
924,maruti ertiga,Manual,Petrol,Trustmark Dealer,First Owner,2015,11918,625000
925,hyundai grand,Automatic,Petrol,Dealer,First Owner,2017,10510,520000
926,chevrolet beat,Manual,Petrol,Dealer,First Owner,2016,41000,239000
927,toyota fortuner,Automatic,Diesel,Trustmark Dealer,First Owner,2017,47162,2600000
928,maruti s-cross,Manual,Diesel,Trustmark Dealer,First Owner,2015,45974,750000
929,hyundai i10,Manual,Petrol,Dealer,First Owner,2012,49824,229999
930,audi a6,Automatic,Diesel,Dealer,First Owner,2013,58500,1300000
931,hyundai santro,Manual,Petrol,Dealer,First Owner,2005,56580,80000
932,skoda laura,Manual,Diesel,Dealer,First Owner,2012,52000,385000
933,hyundai verna,Manual,Petrol,Trustmark Dealer,First Owner,2015,55340,760000
934,maruti swift,Manual,Diesel,Trustmark Dealer,First Owner,2017,46507,600000
935,volkswagen jetta,Automatic,Diesel,Dealer,First Owner,2012,55300,735000
936,tata indica,Manual,Diesel,Dealer,First Owner,2012,74300,285000
937,honda city,Manual,Petrol,Dealer,First Owner,2010,48781,350000
938,volkswagen jetta,Automatic,Diesel,Dealer,First Owner,2010,87620,290000
939,volkswagen vento,Automatic,Diesel,Dealer,First Owner,2017,40219,890000
940,honda jazz,Manual,Petrol,Dealer,First Owner,2011,11473,385000
941,maruti eeco,Manual,Petrol,Dealer,First Owner,2017,8352,425000
942,maruti wagon,Automatic,Petrol,Dealer,First Owner,2017,9745,525000
943,hyundai grand,Manual,Petrol,Dealer,First Owner,2017,9748,550000
944,volkswagen polo,Manual,Petrol,Dealer,First Owner,2012,49000,271000
945,hyundai creta,Manual,Diesel,Dealer,First Owner,2018,20694,1490000
946,hyundai grand,Manual,Petrol,Dealer,First Owner,2015,31080,490000
947,hyundai eon,Manual,Petrol,Dealer,First Owner,2014,37605,260000
948,hyundai xcent,Manual,Diesel,Dealer,First Owner,2014,55850,455000
949,tata nano,Manual,Petrol,Dealer,First Owner,2010,58850,75000
950,toyota etios,Manual,Petrol,Dealer,First Owner,2015,23839,421000
951,maruti swift,Manual,Diesel,Dealer,First Owner,2016,54000,550000
952,hyundai i10,Automatic,Petrol,Dealer,First Owner,2013,38000,330000
953,volkswagen vento,Manual,Diesel,Dealer,First Owner,2012,45454,390000
954,skoda rapid,Automatic,Diesel,Dealer,First Owner,2015,46957,599000
955,hyundai getz,Manual,Petrol,Individual,Fourth & Above Owner,2007,60000,110000
956,renault kwid,Manual,Petrol,Individual,First Owner,2016,25000,250000
957,mahindra scorpio,Manual,Diesel,Individual,Fourth & Above Owner,2012,110000,600000
958,ford endeavour,Manual,Diesel,Individual,Second Owner,2008,190000,280000
959,audi q3,Automatic,Diesel,Individual,First Owner,2018,25000,2700000
960,mahindra renault,Manual,Petrol,Individual,First Owner,2008,90000,80000
961,maruti alto,Manual,Petrol,Individual,First Owner,2019,5000,350000
962,maruti swift,Manual,Diesel,Individual,First Owner,2015,60000,475000
963,audi a5,Automatic,Diesel,Individual,First Owner,2020,1500,4700000
964,maruti swift,Manual,Diesel,Individual,First Owner,2018,50000,500000
965,chevrolet sail,Manual,Diesel,Individual,First Owner,2014,120000,250000
966,hyundai accent,Manual,Diesel,Individual,Second Owner,2005,120000,100000
967,maruti alto,Manual,Petrol,Individual,First Owner,2019,5000,350000
968,bmw 7,Automatic,Diesel,Individual,First Owner,2014,47000,4000000
969,toyota camry,Automatic,Petrol,Individual,First Owner,2017,20000,1900000
970,hyundai santro,Manual,Petrol,Individual,Second Owner,2005,120000,95000
971,hyundai grand,Manual,Diesel,Individual,First Owner,2015,58000,409999
972,mahindra xuv500,Manual,Diesel,Individual,First Owner,2018,35000,1050000
973,maruti alto,Manual,Petrol,Individual,First Owner,2017,30000,320000
974,mahindra xuv300,Manual,Diesel,Individual,First Owner,2019,10000,1000000
975,toyota innova,Manual,Diesel,Individual,First Owner,2017,25000,1770000
976,mahindra thar,Manual,Diesel,Individual,First Owner,2018,20000,950000
977,maruti swift,Manual,Diesel,Individual,First Owner,2018,50000,750000
978,hyundai eon,Manual,Petrol,Individual,First Owner,2014,42000,220000
979,tata hexa,Manual,Diesel,Individual,First Owner,2017,50000,1000000
980,honda mobilio,Manual,Diesel,Individual,First Owner,2017,116000,660000
981,maruti ertiga,Manual,Diesel,Individual,First Owner,2015,100000,716000
982,maruti ciaz,Manual,Petrol,Individual,First Owner,2015,66000,675000
983,mahindra scorpio,Manual,Diesel,Individual,Third Owner,2010,110000,385000
984,fiat grande,Manual,Diesel,Individual,First Owner,2014,70000,325000
985,hyundai creta,Manual,Diesel,Individual,First Owner,2015,60000,950000
986,ford endeavour,Automatic,Diesel,Individual,Fourth & Above Owner,2007,110000,400000
987,tata indica,Manual,Diesel,Individual,First Owner,2014,25000,250000
988,land rover,Automatic,Petrol,Individual,First Owner,2018,68000,4000000
989,maruti alto,Manual,Petrol,Individual,First Owner,2014,20000,210000
990,hyundai i10,Manual,Petrol,Individual,Second Owner,2011,110000,147000
991,maruti vitara,Manual,Diesel,Individual,First Owner,2018,26350,725000
992,mahindra scorpio,Manual,Diesel,Individual,First Owner,2012,90000,550000
993,hyundai i20,Manual,Petrol,Individual,First Owner,2016,25000,475000
994,hyundai santro,Manual,Petrol,Individual,Second Owner,2014,50000,250000
995,tata indica,Manual,Petrol,Individual,Second Owner,2006,60000,70000
996,hyundai eon,Manual,Petrol,Individual,Third Owner,2012,70000,160000
997,ford endeavour,Automatic,Diesel,Individual,Second Owner,2011,90000,1000000
998,hyundai santro,Manual,Petrol,Individual,First Owner,2001,70000,68000
999,hyundai grand,Manual,Petrol,Individual,First Owner,2017,26500,500000
1000,tata indigo,Manual,Diesel,Individual,First Owner,2013,60000,170000
1001,mahindra scorpio,Manual,Diesel,Individual,First Owner,2018,35000,1300000
1002,hyundai creta,Manual,Diesel,Individual,First Owner,2020,10000,1050000
1003,maruti ritz,Manual,Petrol,Individual,First Owner,2009,15000,300000
1004,hyundai i20,Manual,Petrol,Individual,First Owner,2016,25000,600000
1005,hyundai verna,Manual,Diesel,Individual,First Owner,2017,50000,900000
1006,hyundai grand,Manual,Petrol,Individual,First Owner,2019,25000,550000
1007,maruti alto,Manual,Petrol,Individual,Second Owner,2007,52000,100000
1008,honda brio,Manual,Petrol,Individual,First Owner,2017,15000,400000
1009,tata nano,Manual,Petrol,Individual,First Owner,2011,20000,120000
1010,hyundai i20,Manual,Diesel,Individual,First Owner,2013,90000,300000
1011,tata indigo,Manual,Diesel,Individual,Second Owner,2011,60000,140000
1012,skoda rapid,Manual,Petrol,Individual,First Owner,2015,23000,640000
1013,maruti alto,Manual,Petrol,Individual,First Owner,2018,22155,380000
1014,tata nano,Manual,Petrol,Individual,First Owner,2011,20000,120000
1015,maruti ciaz,Manual,Petrol,Individual,First Owner,2018,70000,650000
1016,maruti alto,Manual,Petrol,Individual,Second Owner,2009,60000,150000
1017,ford figo,Manual,Petrol,Individual,First Owner,2018,35000,550000
1018,mahindra xuv500,Manual,Diesel,Dealer,First Owner,2012,71042,650000
1019,mitsubishi pajero,Manual,Diesel,Dealer,Second Owner,2012,167870,1025000
1020,ford fiesta,Manual,Diesel,Dealer,First Owner,2011,133564,195000
1021,mercedes-benz c-class,Automatic,Diesel,Dealer,First Owner,2018,10000,3800000
1022,bmw 3,Automatic,Diesel,Dealer,First Owner,2013,40000,1490000
1023,bmw x5,Automatic,Diesel,Dealer,First Owner,2019,30000,4950000
1024,honda city,Automatic,Petrol,Trustmark Dealer,First Owner,2018,23038,1140000
1025,chevrolet beat,Manual,Diesel,Individual,First Owner,2011,70000,95000
1026,bmw 3,Automatic,Diesel,Individual,First Owner,2017,30000,3050000
1027,hyundai grand,Automatic,Petrol,Dealer,First Owner,2017,19890,550000
1028,maruti ertiga,Manual,Petrol,Trustmark Dealer,First Owner,2015,11918,625000
1029,hyundai grand,Automatic,Petrol,Dealer,First Owner,2017,10510,520000
1030,chevrolet beat,Manual,Petrol,Dealer,First Owner,2016,41000,239000
1031,toyota fortuner,Automatic,Diesel,Trustmark Dealer,First Owner,2017,47162,2600000
1032,hyundai i10,Manual,Petrol,Dealer,First Owner,2012,49824,229999
1033,audi a6,Automatic,Diesel,Dealer,First Owner,2013,58500,1300000
1034,maruti baleno,Manual,Petrol,Trustmark Dealer,First Owner,2017,43608,585000
1035,maruti baleno,Automatic,Petrol,Trustmark Dealer,First Owner,2018,11212,825000
1036,hyundai i20,Manual,Diesel,Dealer,First Owner,2013,52000,280000
1037,maruti baleno,Manual,Petrol,Trustmark Dealer,First Owner,2016,49217,725000
1038,mahindra verito,Manual,Diesel,Individual,First Owner,2015,90000,300000
1039,hyundai xcent,Manual,Petrol,Individual,First Owner,2015,70000,375000
